date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:36:08	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Mar%202023%2018:35:58%20GMT	https://3x-income.com/robots.txt		(from )
12:36:09	84694/84694	---MCZ	200	added ('OK')	text/html	date:Fri,%2003%20Mar%202023%2018:35:59%20GMT	https://3x-income.com/	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/index.html	(from )
12:36:09	94889/94889	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2008:25:52%20GMT	https://3x-income.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://3x-income.com/)
12:36:10	746/746	---M-Z	200	added ('OK')	application/rss+xml	etag:%222b22c8a76362afe9f794cdaee612f46f%22	https://3x-income.com/?feed=comments-rss2	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/indexa6da.html	(from https://3x-income.com/)
12:36:10	217/217	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2008:25:58%20GMT	https://3x-income.com/wp-includes/css/classic-themes.min.css?ver=1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-includes/css/classic-themes.min68b3.css	(from https://3x-income.com/)
12:36:10	1068/1068	---M-Z	200	added ('OK')	application/rss+xml	etag:%222b22c8a76362afe9f794cdaee612f46f%22	https://3x-income.com/?feed=rss2	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/indexd784.html	(from https://3x-income.com/)
12:36:11	128983/128983	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2008:33:06%20GMT	https://3x-income.com/wp-content/plugins/google-language-translator/css/style.css?ver=6.0.18	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/plugins/google-language-translator/css/styled2fe.css	(from https://3x-income.com/)
12:36:11	5732/5732	---M-Z	200	added ('OK')	text/css	date:Thu,%2002%20Mar%202023%2008:33:06%20GMT	https://3x-income.com/wp-content/plugins/google-language-translator/css/toolbar.css?ver=6.0.18	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/plugins/google-language-translator/css/toolbard2fe.css	(from https://3x-income.com/)
12:36:11	37414/37414	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/css/font-awesome.css?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/css/font-awesome6a4d.css	(from https://3x-income.com/)
12:36:12	152767/152767	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/css/bootstrap.css?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/css/bootstrap6a4d.css	(from https://3x-income.com/)
12:36:12	4743/4743	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/css/owl.carousel.css?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/css/owl.carousel6a4d.css	(from https://3x-income.com/)
12:36:12	48192/48192	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/css/default.css	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/css/default.css	(from https://3x-income.com/)
12:36:13	40180/40180	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/images/testiminial-bg.jpg	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/images/testiminial-bg.jpg	(from https://3x-income.com/)
12:36:13	1339/1339	---M-Z	200	added ('OK')	text/css	date:Tue,%2001%20Mar%202022%2016:47:48%20GMT	https://3x-income.com/wp-content/themes/web-development/style.css?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/style6a4d.css	(from https://3x-income.com/)
12:36:13	89684/89684	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2002%20Mar%202023%2008:26:35%20GMT	https://3x-income.com/wp-includes/js/jquery/jquery.min.js?ver=3.6.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-includes/js/jquery/jquery.mina7a0.js	(from https://3x-income.com/)
12:36:13	11224/11224	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2018%20Nov%202020%2009:06:06%20GMT	https://3x-income.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://3x-income.com/)
12:36:14	95189/95189	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/js/owl.carousel.js?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/js/owl.carousel6a4d.js	(from https://3x-income.com/)
12:36:14	4182/4182	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2019%20May%202020%2014:30:24%20GMT	https://3x-income.com/wp-content/themes/web-development/assets/js/default.js?ver=6.1.1	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-content/themes/web-development/assets/js/default6a4d.js	(from https://3x-income.com/)
12:36:15	171117/171117	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2018:36:05%20GMT	https://3x-income.com/index.php?rest_route=/	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/index52f0.json	(from https://3x-income.com/)
12:36:15	28241/28241	---MC-	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2018:36:06%20GMT	https://3x-income.com/index.php?rest_route=/wp/v2/pages/15	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/index59b4.json	(from https://3x-income.com/)
12:36:16	806/806	---M-Z	200	added ('OK')	text/xml	date:Fri,%2003%20Mar%202023%2018:36:07%20GMT	https://3x-income.com/xmlrpc.php?rsd	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/xmlrpc0db0.php	(from https://3x-income.com/)
12:36:16	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Wed,%2011%20Dec%202013%2019:49:11%20GMT	https://3x-income.com/wp-includes/wlwmanifest.xml	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/wp-includes/wlwmanifest.xml	(from https://3x-income.com/)
12:36:17	2434/2434	---M--	200	added ('OK')	application/json	date:Fri,%2003%20Mar%202023%2018:36:08%20GMT	https://3x-income.com/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2F3x-income.com%2F	C:/Users/julia/OneDrive/Documentos/3x/3x-income.com/indexdd71.json	(from https://3x-income.com/)
